"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","221","userCreatedSuccessfully()","","Sat Feb 15 16:30:35 GMT 2025","passed","Sat Feb 15 16:30:35 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","userCreatedSuccessfully"
"","299","searchHotelByName(String, String) [2] Tac Premier Hotel & Spa, Alanya, Turkey","","Sat Feb 15 16:30:36 GMT 2025","passed","Sat Feb 15 16:30:36 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelByName"
"","215","userRegisteredSuccessfully()","","Sat Feb 15 16:30:36 GMT 2025","passed","Sat Feb 15 16:30:36 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","userRegisteredSuccessfully"
"","327","displayHotelPriceWhenLocationIdProvided(Integer, List, Integer) [2] 2696, [Hotels.HOTEL_GREEN_GARDEN(hotelName=Green Garden Suites Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_HARMONY(hotelName=Harmony Butik Otel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_SUNWAY(hotelName=Sunway Apart Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31.992696), Hotels.HOTEL_MUSTI(hotelName=Musti Apart Hotel, locationName=Alanya, Turkey, locationId=2696, lat=36.545233, lon=31…, 7","","Sat Feb 15 16:30:45 GMT 2025","broken","Sat Feb 15 16:30:45 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","displayHotelPriceWhenLocationIdProvided"
"","238","checkColorElementsSizePerPage()","","Sat Feb 15 16:30:35 GMT 2025","passed","Sat Feb 15 16:30:35 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","checkColorElementsSizePerPage"
"","314","displayHotelPriceWhenLocationNameProvided(String, List, Integer) [1] Valencia, [Hotels.HOTEL_LAS_ARENAS(hotelName=Las Arenas Balneario Resort, locationName=Valencia, Spain, locationId=4164, lat=39.469752, lon=-0.377387), Hotels.HOTEL_EUROSTARS(hotelName=Eurostars Rey Don Jaime, locationName=Valencia, Spain, locationId=4164, lat=39.469752, lon=-0.377387), Hotels.HOTEL_MALCOM(hotelName=Hotel Malcom and Barret, locationName=Valencia, Spain, locationId=4164, lat=39.469752, lon=-0.377387), Hotels.HOTEL_VENECIA(hotelName=Venecia Plaza Centro, locationName=Valencia, Spain, locationId=4164, …, 1","","Sat Feb 15 16:30:35 GMT 2025","passed","Sat Feb 15 16:30:36 GMT 2025","","com.jupiter.api.hotel.HotelLivingCostTest","com.jupiter.api.hotel.HotelLivingCostTest","displayHotelPriceWhenLocationNameProvided"
"","331","searchHotelWithEmptyQuery(String) [1] null","","Sat Feb 15 16:30:35 GMT 2025","passed","Sat Feb 15 16:30:35 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelWithEmptyQuery"
"","331","searchHotelWithEmptyQuery(String) [2] ","","Sat Feb 15 16:30:35 GMT 2025","passed","Sat Feb 15 16:30:36 GMT 2025","","com.jupiter.api.hotel.HotelSearchTest","com.jupiter.api.hotel.HotelSearchTest","searchHotelWithEmptyQuery"
"","650","checkUserAvatarAndEmail()","","Sat Feb 15 16:30:36 GMT 2025","passed","Sat Feb 15 16:30:36 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","checkUserAvatarAndEmail"
"","2936","checkColorsSortedYears()","","Sat Feb 15 16:30:32 GMT 2025","passed","Sat Feb 15 16:30:35 GMT 2025","","com.jupiter.api.reqres.ReqresTest","com.jupiter.api.reqres.ReqresTest","checkColorsSortedYears"
